uid;id_ariane;nom;num;numvoie;voie;codepost;commune;code_insee;reglement;surf_tot_m2;gestion;ann_ouvert;clos;openinghoursspecification;precision_horaires;acces;circulation;label;type_equip;eau;toilettes;chien;esp_can;photo;gid;openinghours;last_update_fme;horaires
PAR-69387-07134;S8298;Square Ilot de l'effort;7134;98;Rue Jean Vallier;69007;Lyon;69387;oui;4881,78;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Oui;Oui;0;293;"[]";;
PAR-69388-08262;S8402;Jardin Lily Eigeldinger;8262;20;Rue Paul Cazeneuve;69008;Lyon;69388;oui;346,87;Commune;;oui;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;150;"[]";;
PAR-69388-08060;S8378;Jardin Marie Ducher;8060;118;Av Paul Santy;69008;Lyon;69388;oui;2214,37;Commune;;oui;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;151;"[]";;
PAR-69388-08085;S8384;Square Michaud;8085;165;Av Général Frère;69008;Lyon;69388;oui;2942,63;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Oui;Non;0;305;"[]";;
PAR-69385-05283;S8262;Jardin du Rosaire;5283;40;Montée St Barthélémy;69005;Lyon;69385;oui;38796,29;Commune;;oui;;;Piéton;;non;Fontaine;non;non;Oui;Non;0;132;"[]";;
PAR-69388-08040;S8380;Jardin Dumont;8040;36;Rue Antoine Dumont;69008;Lyon;69388;oui;9429,54;Commune;;non;;;Piéton;;non;;non;non;Non;Non;0;133;"[]";;
PAR-69382-52160;S8420;Square Janmot;52160;1;Square Janmot;69002;Lyon;69382;oui;676,54;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Non;Non;0;294;"[]";;
PAR-69384-04061;S8181;Jardin d'Ypres;4061;57;Rue d'Ypres;69004;Lyon;69384;oui;10406,54;Commune;;non;;;Piéton;;non;;non;non;Non;Non;0;134;"[]";;
PAR-69382-02244;S8429;Jardin Gabriel Rosset;2244;63;Rue Hrant Dink;69002;Lyon;69382;oui;5384,87;Commune;;non;;;Piéton/Vélo;;non;Aire de fitness;non;non;Oui;Non;0;138;"[]";;
PAR-69387-07105;S8170;Jardin Garibaldi Berthelot;7105;10;Av berthelot;69007;Lyon;69387;oui;2037,58;Commune;;non;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;139;"[]";;
PAR-69389-09336;S8177;Jardin Marietton;9336;30;Rue Marietton;69009;Lyon;69389;oui;2601,0;Commune;1976;non;;;Piéton;;non;;non;non;Oui;Non;0;152;"[]";;
PAR-69388-08197;S8395;Jardin Marius Berliet;8197;73;Rue Marius Berliet;69008;Lyon;69388;oui;372,47;Commune;;non;;;Piéton;;non;;non;non;Non;Non;0;153;"[]";;
PAR-69387-07275;S8208;Jardin Mazagran;7275;1;Rue Mazagran;69007;Lyon;69387;oui;4604,02;Commune;;non;;;Piéton;;non;Aire de jeux-Espace Ludique;oui;oui;Oui;Non;0;154;"[]";;
PAR-69381-01045;S8161;Jardin Morel;1045;8;Place Lieutenant Morel;69001;Lyon;69381;oui;1176,94;Commune;;non;;;Piéton;;non;;oui;non;Non;Non;0;155;"[]";;
PAR-69385-05266;S8202;Jardin Théâtre Romain Fourvière;5266;10;Rue de l'Antiquaille;69005;Lyon;69385;oui;50321,64;Métropole;;non;;;Piéton;;non;;non;non;Oui;Non;0;185;"[]";;
PAR-69389-09142;S8284;Jardin Mur du Roc;9142;40;Rue Hector Berlioz;69009;Lyon;69389;oui;8828,6;Commune;1980;non;;;Piéton;;non;;oui;non;Oui;Non;0;156;"[]";;
PAR-69385-05128;S8233;Jardin Pierre Thévenin;5128;1;Place du 158e Régiment d'Infanterie;69005;Lyon;69385;oui;5907,39;Commune;;oui;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;158;"[]";;
PAR-69382-52021;S8412;Jardin place Antonin Poncet;52021;1;Place Antonin Poncet;69002;Lyon;69382;oui;11800,39;Commune;;non;;;Piéton/Vélo;;non;Fontaine;non;non;Oui;Non;0;159;"[]";;
PAR-69383-53302;S8370;Jardin Place Charles de Gaulle;53302;1;Place Charles de Gaulle;69003;Lyon;69383;oui;6204,09;Commune;;non;;;Piéton;;non;Fontaine;non;non;Oui;Non;0;161;"[]";;
PAR-69388-08067;S8382;Jardin Saint Nestor;8067;1;Rue Saint Mathieu;69008;Lyon;69388;oui;3419,23;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Oui;Non;0;177;"[]";;
PAR-69034-050;;Square Professeur Roux;50;;Angle rue Pasteur/rue Professeur Roux;69300;Caluire-et-Cuire;69034;Non;321,0;Communale;;Non;;;;Piéton;Non;;Non;Non;Tenus en laisse;;;525;"[]";2023-07-25 13:25:54.153747+02:00;
PAR-69382-52163;S8422;Jardin place de l'Hippodrome;52163;1;Place de l'Hippodrome;69002;Lyon;69382;oui;10539,53;Commune;;non;;;Piéton;;non;Aire de jeux;oui;oui;Oui;Oui;0;164;"[]";;
PAR-69388-58050;S8407;Jardin place du 8 Mai 1945;58050;1;Place du 8 Mai 1945;69008;Lyon;69388;oui;21073,12;Commune;;non;;;Piéton/Vélo;;non;Aire de jeux-Fontaine-Espace ludique;oui;non;Oui;Non;0;166;"[]";;
PAR-69383-53061;S8360;Square place de la Ferrandière;53061;1;Place de la Ferrandière;69003;Lyon;69383;oui;9423,07;Commune;;non;;;Piéton;;non;Aire de jeux;oui;non;Oui;Non;0;324;"[]";;
PAR-69382-52175;S8423;Jardin place Général Delfosse;52175;1;Place Général Delfosse;69002;Lyon;69382;oui;12992,72;Commune;;non;;;Piéton/Vélo;;oui;;oui;non;Oui;Non;0;167;"[]";;
PAR-69388-58056;S8411;Jardin promenade Léa et Napoléon Bullukian;58056;200;Av des Frères Lumiére;69008;Lyon;69388;oui;2171,96;Commune;;non;;;Piéton;;non;;non;non;Oui;Non;0;172;"[]";;
PAR-69386-56027;S8249;Jardin place Maréchal Lyautey;56027;1;Place Maréchal Lyautey;69006;Lyon;69386;oui;20484,06;Commune;;non;;;Piéton/Vélo;;non;Aire de jeux-Fontaine;oui;oui;Oui;Non;0;169;"[]";;
PAR-69385-55215;S8271;Jardin Place Pierre Bossan;55215;1;Place Pierre Bossan;69005;Lyon;69385;oui;1949,41;Commune;;non;;;Piéton;;non;Aire de jeux;non;non;Oui;Non;0;170;"[]";;
PAR-69385-05160;S8252;Jardin Père François Varillon;5160;4;Rue Cardinal Gerlier;69005;Lyon;69385;oui;5113,09;Commune;;non;;;Piéton;;non;;non;oui;Oui;Non;0;173;"[]";;
PAR-69388-08177;S8394;Jardin René et Madeleine Caille;8177;25;Rue Ludovic Arrachart;69008;Lyon;69388;oui;3796,05;Commune;;non;;;Piéton;;non;Aire de jeux;oui;non;Non;Non;0;174;"[]";;
PAR-69384-04115;S8182;Jardin Rosa Mir;4115;87;Grande Rue de la Croix Rousse;69004;Lyon;69384;oui;529,26;Commune;;oui;;;Piéton;;non;;oui;non;Non;Non;0;175;"[]";;
PAR-69389-09035;S8275;Jardin Secret;9035;15;Grande Rue de St Rambert;69009;Lyon;69389;oui;4419,98;Commune;;oui;;;Piéton;;non;;non;non;Oui;Non;0;178;"[]";;
PAR-69383-03415;S8329;Jardin Simone Prelle;3415;72;rue Chaponnay;69003;Lyon;69383;oui;1231,57;Commune;;non;;;Piéton;;non;Espace ludique;oui;non;Oui;Non;0;179;"[]";;
PAR-69383-03164;S8347;Jardin Soeur Jeanne Jugan;3164;27;Rue Maurice Flandin;69003;Lyon;69383;oui;8847,5;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Oui;Non;0;180;"[]";;
PAR-69388-58234;S8426;Jardin Suzanne Valadon;58234;1;Rue du Cmdt Caroline Aigle;69008;Lyon;69388;oui;5216,5;Commune;;non;;;Piéton;;non;Aire de jeux;oui;non;Oui;Non;0;181;"[]";;
PAR-69385-05124;S8316;Jardin Taurobole;5124;11;Rue des Maccabées;69005;Lyon;69385;oui;3818,83;Métropole;;oui;;;Piéton;;non;;non;non;Non;Non;0;182;"[]";;
PAR-69383-53062;S8361;Square Place de la Reconnaissance;53062;8;Place de la Reconnaisance;69003;Lyon;69383;oui;1953,89;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Oui;Non;0;325;"[]";;
PAR-69382-02056;S8377;Jardin terrasse Perrache;2056;22;Cours de Verdun;69002;Lyon;69382;oui;12737,21;Commune;;oui;;;Piéton;;non;Fontaine;oui;non;Non;Non;0;183;"[]";;
PAR-69386-56087;S8216;Jardin Thiers;56087;1;Rue Michel Rambaud;69006;Lyon;69386;oui;3716,54;Commune;;non;;;Piéton;;non;Fontaine;non;non;Oui;Non;0;184;"[]";;
PAR-69383-03388;S8373;Jardin Zenith;3388;57;Rue Feuillat;69003;Lyon;69383;oui;8731,22;Commune;;oui;;;Piéton;;non;Aire de jeux-Fontaine;oui;oui;Non;Non;0;187;"[]";;
PAR-69384-04183;S8183;Parc Chazière;4183;61;Rue Chazière;69004;Lyon;69384;oui;14336,31;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;non;;non;oui;Oui;Non;0;190;"[]";;
PAR-69388-08258;S8385;Parc Clos Layat;8258;260;Route de Vienne;69008;Lyon;69388;oui;99809,41;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton/Vélo;;oui;Aire de jeux-Espace Ludique;oui;non;Oui;Non;0;191;"[]";;
PAR-69388-08086;S8386;Parc Léon Pfeffer;8086;7;Rue Général Gouraud;69008;Lyon;69388;oui;1523,63;Commune;;oui;;;Piéton;;non;Aire de jeux;oui;non;Non;Non;0;213;"[]";;
PAR-69389-09041;S8300;Parc de Balmont;9041;18;Rue des Contrebandiers;69009;Lyon;69389;oui;43620,34;Commune;;oui;;;Piéton;;non;;non;non;Oui;Non;0;192;"[]";;
PAR-69385-05074;S8217;Parc des Murières;5074;60;Rue Joliot Curie;69005;Lyon;69385;oui;13781,17;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;non;Aire de jeux;oui;oui;Oui;Non;0;207;"[]";;
PAR-69386-06095;S8230;Square des Droits de l'Enfant;6095;37;Bd des Brotteaux;69006;Lyon;69386;oui;2155,15;Commune;;oui;"[{'opens': '8:00', 'closes': '22:00', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton;;non;Aire de jeux;non;non;Non;Non;0;262;"[]";;
PAR-69389-09125;S8281;Parc de Grand Champ;9125;1;Rue Hector Berlioz;69009;Lyon;69389;oui;19625,22;Commune;;non;;;Piéton;;non;Aire de jeux;non;non;Oui;Non;0;195;"[]";;
PAR-69389-09305;S8167;Parc Michèle Mollard;9305;6;Rue Cottin;69009;Lyon;69389;oui;2154,29;Commune;2001;oui;;;Piéton;;non;Aire de jeux;oui;non;Non;Non;0;214;"[]";;
PAR-69034-035;;Square des Petits Bois;35;;Angle avenue Alexander Fleming et avenue Elie Vignal;69300;Caluire-et-Cuire;69034;Non;11353,0;Commune;;Non;;;;Piéton;Non;Aire de jeux;Non;Non;Tenus en laisse;;;510;"[]";2023-07-25 13:25:54.150912+02:00;
PAR-69385-05079;S8218;Parc de Champvert;5079;39;Rue de Champvert;69005;Lyon;69385;oui;12035,78;Commune;;oui;;;Piéton;;oui;Aire de jeux;oui;oui;Oui;Non;0;193;"[]";;
PAR-69388-08091;S8387;Square Jean de Torcy;8091;59;Rue Longefer;69008;Lyon;69388;oui;3224,09;Commune;;non;;;Piéton;;non;Aire de jeux;oui;non;Non;Non;0;295;"[]";;
PAR-69387-07221;S8301;Parc de Gerland;7221;24;Allée Pierre de Coubertin;69007;Lyon;69387;oui;209654,61;Commune;;oui;"[{'opens': '6:30', 'closes': '22:30', 'dayOfWeek': ['http://schema.org/Monday', 'http://schema.org/Tuesday', 'http://schema.org/Wednesday', 'http://schema.org/Thursday', 'http://schema.org/Friday', 'http://schema.org/Saturday', 'http://schema.org/Sunday']}]";;Piéton/Vélo;;oui;Aire de jeux-Fontaine-Espace Ludique-Botanique;oui;oui;Oui;Non;0;194;"[]";;
PAR-69381-01043;S8127;Square Carquillat;1043;37;Rue Pierre Dupont;69001;Lyon;69381;oui;1429,44;Commune;;oui;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;236;"[]";;
PAR-69387-07113;S8325;Square Chevreul;7113;68;Rue Chevreul;69007;Lyon;69387;oui;2716,54;Commune;;oui;;;Piéton;;non;Aire de jeux;non;non;Non;Non;0;238;"[]";;
