Identifiant;Nom;Type;Adresse;Code postal;Commune;Géolocalisation;Web;Accès transports en commun;Informations complémentaires;Gardien;Jeux pour enfants;Pataugeoire;Sanitaires;Sanitaires pour handicapés;Chiens autorisés;Jardin clos;Abris;Point d'eau;Table pique-nique
6032;Square Nina Simone;Parc;Rue Nina Simone;44000;Nantes;47.21673436499998, -1.5342458220000026;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
6121;Parc de la Méta;Parc;Rue de l'Etang;44100;Nantes;47.20314066899999, -1.6064369740000188;;;;;;;;;;;;;
4542;Le Parc des Oblates;Parc;Rue de la Brianderie;44100;Nantes;47.20040787200003, -1.585057154000026;https://nature.metropole.nantes.fr;"Ligne 54 St Nicolas ; Ligne C1 Hérelle";<p>Présence des moutons d'Ouessant</p>;NON;;;;;;;NON;NON;
3212;Square Faustin Hélie;Parc;Rue Faustin Hélie;44000;Nantes;47.218059262, -1.563925557999994;https://nature.metropole.nantes.fr;Ligne 54 St Nicolas;;NON;;;;;;;NON;OUI;
4598;Place Wattignies;Parc;Rue de l'Echappée;44200;Nantes;47.203761224000004, -1.5480403029999934;https://nature.metropole.nantes.fr;Wattignies Ligne 2;;NON;;;;;;;NON;NON;
4579;Square du Lait de Mai;Parc;Passage Berthault;44000;Nantes;47.212117288, -1.5483635229999777;https://nature.metropole.nantes.fr;Ligne 2 Aimé Delrue;;NON;;;;;;;NON;OUI;
6018;Parc du Port Boyer;Parc;Rue de Pornichet;44300;Nantes;47.241093080999974, -1.5431651260000194;https://nature.metropole.nantes.fr;;;NON;;;;;;;NON;NON;
4578;Square Jean Heurtin;Parc;Square Jean Heurtin;44000;Nantes;47.21494116100001, -1.5447281489999796;https://nature.metropole.nantes.fr;Ligne 1 Duchesse Anne Château ou ligne C3 Lieu Unique;;NON;;;;;;;NON;NON;
6031;Square Maire-Madeleine Fourcade;Parc;Rue du Haut Launay;44300;Nantes;47.26318061400002, -1.518790867000007;https://nature.metropole.nantes.fr/;;;NON;;;;;;;NON;NON;
1499;Square Jean Le Gigant;Parc;40 Rue Maurice Terrien;44100;Nantes;47.204126652000014, -1.593135984000014;https://nature.metropole.nantes.fr;Cabrol Ligne 70;;NON;;;;;;;NON;OUI;
6019;Square Corrèze;Parc;Rue de la Corrèze;44100;Nantes;47.209495984, -1.6006803220000165;;;;;;;;;;;;;
4603;Square des Farfadets;Parc;Allée de Portricq;44300;Nantes;47.266913620000025, -1.5215066520000278;https://nature.metropole.nantes.fr;Ligne 2 Place du cirque / Ligne C6 Portricq;;NON;;;;;;;NON;NON;
4591;Square Saint François;Parc;Rue Saint François;44000;Nantes;47.218214628, -1.5454755810000051;https://nature.metropole.nantes.fr;Duchesse Anne-Chateau Ligne 1;;NON;;;;;;;NON;NON;
4606;Square du Zenith;Parc;Rue Tristan Corbière;44300;Nantes;47.268808315, -1.51682800399999;https://nature.metropole.nantes.fr;Ligne 2 Place du cirque / Ligne C6 St Joseph de porterie;;NON;;;;;;;NON;NON;
3207;Bois de la Musse;Parc;Rue Etienne Coutan;44100;Nantes;47.204560257000026, -1.6105278090000184;https://nature.metropole.nantes.fr;Bernanos Lignes 25 H 74 ou ligne 1 Romain Rolland;;NON;;;;;;;NON;NON;
4415;Jardin des Fonderies;Parc;Rue Louis Joxe;44200;Nantes;47.20562981500001, -1.5448420160000182;https://nature.metropole.nantes.fr;Lignes 2 3 Wattignies;;NON;;;;;;;OUI;NON;
1598;Square des Rossignols;Parc;Rue de l'Adour;44100;Nantes;47.20794786099998, -1.6101853289999895;https://nature.metropole.nantes.fr;Romain Rolland Ligne 1;;NON;;;;;;;NON;NON;
