Identifiant,Nom,Type,Adresse,Code postal,Code insee,Commune,Y,X
1506,Parc des Capucins,Parc,Rue Noire,44000,44109,Nantes,47.22529364100001, -1.5629966810000155
4787,Jardin des cinq sens,Parc,Rue Gaëtan Rondeau,44200,44109,Nantes,47.20716353400002, -1.533640326000011
1016,Jardin des Plantes,Parc,Rue Stanislas Baudry,44000,44109,Nantes,47.21967020599999, -1.5430812590000187
6015,Square de la Petite Sensive,Parc,Rue du Honduras,44300,44109,Nantes,47.260247943000024, -1.5632198850000236
6128,Square Germaine Tillion,Parc,Rue René Rivet,44300,44109,Nantes,47.267508220000025, -1.510601434000023
6021,Square de l'Embellie,Parc,Rue Julien Lanoë,44300,44109,Nantes,47.26684549599997, -1.5161469299999908
4506,Square Louis Feuillade,Parc,Rue Jacques Feyder,44100,44109,Nantes,47.23043376700002, -1.5854869849999886
4586,Square Saint Pasquier,Parc,Place Emile Fritsch,44000,44109,Nantes,47.228755748000026, -1.566077292999978
4417,Square Général de la Bollardière,Parc,Rue du Général de Bollardière,44200,44109,Nantes,47.20930418400002, -1.5294719629999918
6027,Square des Ingénieurs,Parc,Route de la Jonelière,44300,44109,Nantes,47.252111316000025, -1.5450075829999719
4576,Jardin des douves du Château,Parc,Rue des Etats,44000,44109,Nantes,47.215616856, -1.550132734999977
6224,Square Félix Faure,Parc,77 Rue Félix Faure,44000,44109,Nantes,47.230848095, -1.5686171969999805
4583,Square Marcel Moisan,Parc,56 Rue de l'Hermitage,44100,44109,Nantes,47.20208672000001, -1.5773175229999765
4577,Square Gabriel Chéreau,Parc,Rue d'Ancin,44000,44109,Nantes,47.21110856199999, -1.5627866660000223
5806,Parc Bottière-Chenaie,Parc,Mail Haroun Tazieff,44300,44109,Nantes,47.24154071700002, -1.5134921389999931
1021,Parc de la Gaudinière,Parc,227 Boulevard Robert Schuman,44300,44109,Nantes,47.24433031500001, -1.5786627819999808
1344,Parc de la Boucardière,Parc,54 Rue de l'Abbaye,44100,44109,Nantes,47.20115274800003, -1.5976591560000202
1527,Square Jean-Baptiste Daviais,Parc,Place de la Petite Hollande,44000,44109,Nantes,47.211902416999976, -1.5579172569999855
4575,Cours Cambronne,Parc,Cours Cambronne,44000,44109,Nantes,47.211941696999986, -1.5631886610000265
4607,Square Barbara,Parc,Rue de la Grange au Loup,44300,44109,Nantes,47.26608304400003, -1.523076419000006
1534,Square Villebois Mareuil,Parc,Allée de la Bourse,44000,44109,Nantes,47.21241709200001, -1.5589719939999895
1518,Square Commandant Lacroix,Parc,Rue de l'Hermitage,44100,44109,Nantes,47.20346237199999, -1.5759191070000043
6122,Parc du Jamet,Parc,Rue du Jamet,44100,44109,Nantes,47.20822451999999, -1.6053341940000223
1020,Parc du Grand Blottereau,Parc,Boulevard Auguste Péneau,44300,44109,Nantes,47.228394783, -1.510025784999982
1018,Parc de la Roche,Parc,Rue de la Révolution des Oeillets,44000,44109,Nantes,47.21851405000001, -1.5175650680000103
1521,Square Maquis de Saffré,Parc,Rue Sully,44000,44109,Nantes,47.22225945500003, -1.552084829000023
1025,Square Elisa Mercoeur,Parc,1 Cours Commandant d'Estienne d'Orves,44000,44109,Nantes,47.214355668999985, -1.5510691700000052
4580,Jardin de la Psalette,Parc,Impasse Saint Laurent,44000,44109,Nantes,47.21779103799997, -1.5499393939999777
4584,Square Canclaux,Parc,Place Canclaux,44100,44109,Nantes,47.21440703500002, -1.5744817539999758
6017,Parc du Chêne des Anglais,Parc,Rue Samuel De Champlain,44300,44109,Nantes,47.260616024, -1.5731922620000205
1017,Parc de la Chantrerie,Parc,95 Route de Gachet,44300,44109,Nantes,47.286413176999986, -1.5243799190000118
1531,Square Pascal Lebée,Parc,Rue Dugommier,44000,44109,Nantes,47.216107109999996, -1.5635025010000163
6123,Square Grande Noue,Parc,Rue de la Bottière,44300,44109,Nantes,47.237754713000015, -1.5209350700000073
1522,Square de l'Edit de Nantes,Parc,Place de l'Edit de Nantes,44100,44109,Nantes,47.21435363699999, -1.5677651240000046
1513,Square Amiral Halgan,Parc,Place de l'Hôtel de Ville,44000,44109,Nantes,47.217388805999974, -1.5544883819999882
6022,Square de la Hunaudais,Parc,Rue de la Hunaudais,44100,44109,Nantes,47.210112048999974, -1.5855563409999718
5665,Le Jardin Extraordinaire,Parc,1 Rue Joseph Cholet,44100,44109,Nantes,47.20018378100002, -1.5808838419999915
3209,Square Jules Verne,Parc,Rue de l'Hermitage,44100,44109,Nantes,47.20145181800001, -1.5775880200000074
1530,Square Maurice Schwob,Parc,3 Rue des Garennes,44100,44109,Nantes,47.20115187900001, -1.5811743979999733
1526,Square Gaston Michel,Parc,Boulevard des Américains,44300,44109,Nantes,47.234966359, -1.5715036440000176
2641,Jardin des Maraîches,Parc,Rue de la Haluchère,44300,44109,Nantes,47.24627462400002, -1.5163231230000065
3216,Square Eglise de La Madeleine,Parc,Boulevard Gustave Roch,44200,44109,Nantes,47.20515258099999, -1.5486900249999849
1512,Square de la Marseillaise,Parc,47 Rue du Bois Hercé,44100,44109,Nantes,47.20783292499999, -1.5923497549999865
6034,Square Robert Desnos,Parc,92 Bis Boulevard de la Solidarité,44100,44109,Nantes,47.21729333600001, -1.5961893620000183
1532,Square Toussaint Louverture,Parc,Rue des Usines,44100,44109,Nantes,47.194884883999976, -1.6161157369999728
4599,Place de la Guirouée,Parc,Place de la Guiroué,44200,44109,Nantes,47.20847208800001, -1.527572163000002
6124,Square Méliès,Parc,Rue Georges Méliès,44100,44109,Nantes,47.23169131100002, -1.5818249980000019
4087,Parc de l'Amande,Parc,Rue Eugène Thomas,44300,44109,Nantes,47.262856242, -1.5709898229999908
4582,Square des Courtils,Parc,Rue des Courtils,44100,44109,Nantes,47.20043817499999, -1.5933392759999947
4604,Square du Nadir,Parc,Rue du Nadir,44300,44109,Nantes,47.267014768000024, -1.51896582400002
6126,Esplanade Jean Bruneau,Parc,Rue de l'Hermitage,44100,44109,Nantes,47.202491312999996, -1.5763116850000074
6024,Square de la Rue de l'Adour,Parc,Rue de l'Adour,44100,44109,Nantes,47.20661805100002, -1.608503703999986
3204,Parc des Dervallières,Parc,Rue Louis Le Nain,44100,44109,Nantes,47.22496123799999, -1.5950487119999934
4593,Square Basse Mar,Parc,Place de la Basse Mar,44200,44109,Nantes,47.208045371000026, -1.5252713290000202
1519,Square Washington,Parc,Boulevard des Américains,44300,44109,Nantes,47.23321879399998, -1.5743768280000268
3217,Square Gustave Roch,Parc,22 Boulevard Gustave Roch,44200,44109,Nantes,47.20509154400003, -1.5499660099999915
6013,Jardin Sainte Croix,Parc,4 Place Sainte Croix,44000,44109,Nantes,47.21517963399998, -1.5538660189999973
4418,Jardin de l'île Mabon,Parc,Quai François Mitterrand,44200,44109,Nantes,47.20752445400001, -1.5596282210000254
6035,Jardin de la Persagotière,Parc,Allée Marie Heurtin,44200,44109,Nantes,47.191889616000026, -1.5380047030000128
6020,Square de Chypre,Parc,Rue de Chypre,44000,44109,Nantes,47.216404565999994, -1.5228395930000147
5933,Square du Clos Toreau,Parc,Place du Muguet Nantais,44200,44109,Nantes,47.19488783999998, -1.5281277110000246
4600,Aire du Stade de la Beaujoire,Parc,Route de Saint Joseph,44300,44109,Nantes,47.25784177899999, -1.5249530849999928
6014,Parc de la Boissière,Parc,Rue André Chérier,44300,44109,Nantes,47.25421125999998, -1.5681790309999997
6030,Square Louis Pergaud,Parc,Rue Louis Pergaud,44300,44109,Nantes,47.26855050299997, -1.5188367179999887
4588,Jardin des Nectars,Parc,Petite Avenue de Longchamp,44300,44109,Nantes,47.23806853399998, -1.5826193600000238
4590,Square Pablo Picasso,Parc,Mail Pablo Picasso,44000,44109,Nantes,47.21503142099999, -1.536421603000008
4594,Square Proust Bergson,Parc,Rue Henri Bergson,44300,44109,Nantes,47.25438482599998, -1.5708382139999912
2372,Parc Floral de la Beaujoire,Parc,Route de Saint Joseph,44300,44109,Nantes,47.26217104900002, -1.5330595020000146
1533,Square Vertais,Parc,Rue Petite Biesse,44200,44109,Nantes,47.202467919000014, -1.5465816500000074
4585,Square Pilleux,Parc,Boulevard Benoit Frachon,44100,44109,Nantes,47.20763689500001, -1.5803692129999831
4596,Parc des Chantiers,Parc,Boulevard Léon Bureau,44200,44109,Nantes,47.20678428399998, -1.5662161729999866
1508,Jardin d'Enfants de Procé,Parc,Rue des Dervallières,44100,44109,Nantes,47.222289579000005, -1.5815620710000076
1515,Square Bénoni Goulin,Parc,Rue du Scorff,44200,44109,Nantes,47.20215614, -1.5515464079999788
